"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 16 18:25:58 AEDT 2023","Mon Jan 16 18:25:59 AEDT 2023","831","","Login As Bank Manager","","","","Verify login as Bank Manager",""
"failed","Mon Jan 16 18:29:34 AEDT 2023","Mon Jan 16 18:29:41 AEDT 2023","6494","","Login As Bank Manager","","Login As Bank Manager","Verify page title","Verify page title",""
"passed","Mon Jan 16 18:29:47 AEDT 2023","Mon Jan 16 18:29:51 AEDT 2023","3733","","Add a new customer","","Add a new customer","Add a new customer as bank manager","Add a new customer as bank manager",""
"passed","Mon Jan 16 18:29:41 AEDT 2023","Mon Jan 16 18:29:43 AEDT 2023","1518","","Login As Bank Manager","","Login As Bank Manager","Verify login as Bank Manager","Verify login as Bank Manager",""
"passed","Mon Jan 16 18:26:04 AEDT 2023","Mon Jan 16 18:26:08 AEDT 2023","3721","","Add a new customer","","","","Add a new customer as bank manager",""
"passed","Mon Jan 16 18:26:12 AEDT 2023","Mon Jan 16 18:26:17 AEDT 2023","4457","","Open Account for the customer","","","","Open account for the added user",""
"failed","Mon Jan 16 18:25:53 AEDT 2023","Mon Jan 16 18:25:58 AEDT 2023","4593","","Login As Bank Manager","","","","Verify page title",""
"passed","Mon Jan 16 18:29:56 AEDT 2023","Mon Jan 16 18:30:00 AEDT 2023","4448","","Open Account for the customer","","Open Account for the customer","Open account for the added user","Open account for the added user",""
